date,airport,inbound_flights,inbound_avg_arr_delay
2020-05-17,ANC,10,-17.4
2020-05-18,ANC,19,-0.8947368421052632
2020-05-19,ANC,21,-7.095238095238095
2020-05-20,ANC,23,-11.521739130434783
2020-05-21,ANC,21,-10.333333333333334
2020-05-22,ANC,22,-10.409090909090908
2020-05-23,ANC,15,-17.733333333333334
2020-05-24,ANC,13,-18.0
2020-05-25,ANC,21,-14.333333333333334
2020-05-26,ANC,21,-4.619047619047619
2020-05-27,ANC,22,-12.590909090909092
2020-05-28,ANC,22,-13.227272727272727
2020-05-29,ANC,22,-12.863636363636363
2020-05-30,ANC,15,-22.8
2020-05-31,ANC,13,-18.307692307692307
2020-06-01,ANC,28,-3.3214285714285716
2020-06-02,ANC,29,-9.10344827586207
2020-06-03,ANC,30,-7.2
2020-06-04,ANC,32,-7.5
2020-06-05,ANC,31,-10.580645161290322
2020-06-06,ANC,28,-21.357142857142858
2020-06-07,ANC,28,-17.607142857142858
2020-06-08,ANC,33,-7.909090909090909
2020-06-09,ANC,28,-10.357142857142858
2020-06-10,ANC,32,-12.46875
2020-06-11,ANC,32,-18.3125
2020-06-12,ANC,31,-13.838709677419354
2020-06-13,ANC,29,-12.310344827586206
2020-06-14,ANC,28,-17.25
2020-06-15,ANC,34,-16.676470588235293
2020-06-16,ANC,31,-10.35483870967742
2020-06-17,ANC,32,0.1875
2020-06-18,ANC,33,-2.9393939393939394
2020-06-19,ANC,32,-17.4375
2020-06-20,ANC,28,-6.5
2020-06-21,ANC,28,-13.964285714285714
2020-06-22,ANC,34,-7.411764705882353
2020-06-23,ANC,31,-11.483870967741936
2020-06-24,ANC,32,4.59375
2020-06-25,ANC,32,-5.5625
2020-06-26,ANC,32,0.65625
2020-06-27,ANC,27,4.481481481481482
2020-06-28,ANC,29,9.931034482758621
2020-06-29,ANC,34,1.1176470588235294
2020-06-30,ANC,32,-4.84375
2020-07-01,ANC,36,2.1944444444444446
2020-07-02,ANC,38,-2.6052631578947367
2020-07-03,ANC,37,7.1891891891891895
2020-07-04,ANC,34,9.882352941176471
2020-07-05,ANC,31,2.096774193548387
2020-07-06,ANC,37,1.4054054054054055
2020-07-07,ANC,37,-0.40540540540540543
2020-07-08,ANC,39,-2.1025641025641026
2020-07-09,ANC,39,5.153846153846154
2020-07-10,ANC,38,-4.157894736842105
2020-07-11,ANC,36,-2.4722222222222223
2020-07-12,ANC,35,7.714285714285714
2020-07-13,ANC,39,5.333333333333333
2020-07-14,ANC,37,-1.5405405405405406
2020-07-15,ANC,38,-0.9736842105263158
2020-07-16,ANC,37,5.324324324324325
2020-07-17,ANC,39,6.205128205128205
2020-07-18,ANC,37,8.675675675675675
2020-07-19,ANC,36,-0.08333333333333333
2020-07-20,ANC,40,-1.075
2020-07-21,ANC,38,-0.47368421052631576
2020-07-22,ANC,40,3.225
2020-07-23,ANC,40,3.025
2020-07-24,ANC,40,8.675
2020-07-25,ANC,37,1.1891891891891893
2020-07-26,ANC,37,-5.324324324324325
2020-07-27,ANC,40,-4.3
2020-07-28,ANC,38,-4.157894736842105
2020-07-29,ANC,39,-3.6923076923076925
2020-07-30,ANC,40,-0.15
2020-07-31,ANC,39,-7.384615384615385
2020-08-01,ANC,41,-7.073170731707317
2020-08-02,ANC,43,-1.9069767441860466
2020-08-03,ANC,45,5.066666666666666
2020-08-04,ANC,43,-6.906976744186046
2020-08-05,ANC,43,-5.767441860465116
2020-08-06,ANC,43,4.813953488372093
2020-08-07,ANC,42,2.1904761904761907
2020-08-08,ANC,40,4.375
2020-08-09,ANC,40,9.35
2020-08-10,ANC,44,1.3636363636363635
2020-08-11,ANC,39,2.076923076923077
2020-08-12,ANC,42,5.0
2020-08-13,ANC,43,9.767441860465116
2020-08-14,ANC,44,1.4090909090909092
2020-08-15,ANC,39,-3.230769230769231
2020-08-16,ANC,41,-1.8048780487804879
2020-08-17,ANC,42,-12.428571428571429
2020-08-18,ANC,40,-1.5
2020-08-19,ANC,41,-6.560975609756097
2020-08-20,ANC,41,-4.463414634146342
2020-08-21,ANC,41,-1.2439024390243902
2020-08-22,ANC,37,-3.5675675675675675
2020-08-23,ANC,39,-2.923076923076923
2020-08-24,ANC,42,3.761904761904762
2020-08-25,ANC,40,-3.75
2020-08-26,ANC,41,3.926829268292683
2020-08-27,ANC,41,-1.024390243902439
2020-08-28,ANC,42,1.1428571428571428
2020-08-29,ANC,35,21.514285714285716
2020-08-30,ANC,37,35.75675675675676
2020-08-31,ANC,40,17.6
2020-09-01,ANC,37,6.837837837837838
2020-09-02,ANC,39,7.897435897435898
2020-09-03,ANC,38,-1.736842105263158
2020-09-04,ANC,38,5.684210526315789
2020-09-05,ANC,36,15.416666666666666
2020-09-06,ANC,37,9.08108108108108
2020-09-07,ANC,40,3.9
2020-09-08,ANC,37,0.918918918918919
2020-09-09,ANC,38,5.052631578947368
2020-09-10,ANC,37,-2.2972972972972974
2020-09-11,ANC,38,-0.6842105263157895
2020-09-12,ANC,36,-2.361111111111111
2020-09-13,ANC,37,-10.81081081081081
2020-09-14,ANC,35,-7.885714285714286
2020-09-15,ANC,37,-5.351351351351352
2020-09-16,ANC,38,-5.447368421052632
2020-09-17,ANC,37,-11.756756756756756
2020-09-18,ANC,38,-6.631578947368421
2020-09-19,ANC,36,9.166666666666666
2020-09-20,ANC,37,-7.297297297297297
2020-09-21,ANC,38,-10.894736842105264
2020-09-22,ANC,37,-14.405405405405405
2020-09-23,ANC,38,-10.342105263157896
2020-09-24,ANC,37,-4.8108108108108105
2020-09-25,ANC,38,-1.1842105263157894
2020-09-26,ANC,36,5.638888888888889
2020-09-27,ANC,37,-1.2972972972972974
2020-09-28,ANC,38,3.3157894736842106
2020-09-29,ANC,35,-7.428571428571429
2020-09-30,ANC,38,-6.105263157894737
2020-10-01,ANC,35,0.45714285714285713
2020-10-02,ANC,39,-7.615384615384615
2020-10-03,ANC,37,3.081081081081081
2020-10-04,ANC,34,-12.5
2020-10-05,ANC,38,-1.8157894736842106
2020-10-06,ANC,34,-9.911764705882353
2020-10-07,ANC,35,-5.0285714285714285
2020-10-08,ANC,34,-14.735294117647058
2020-10-09,ANC,35,-19.428571428571427
2020-10-10,ANC,32,-15.625
2020-10-11,ANC,32,-12.28125
2020-10-12,ANC,36,-12.666666666666666
2020-10-13,ANC,32,-11.59375
2020-10-14,ANC,35,12.0
2020-10-15,ANC,34,0.5588235294117647
